id,category_id,name,description,address,arrondissement,latitude,longitude,contact_telephone,contact_email,contact_website,founded_year,accessibility,amenities,created_at,updated_at
1,2,Musée des Beaux-Arts de Lyon,Musée présentant des collections permanentes et expositions temporaires d'art et culture.,"20 place des Terreaux, Lyon 1er",Lyon 1er,45.771224,4.831364,04 77 89 33 55,,http://www.musee-des-beaux-arts-de-lyon-lyon.fr,1801,Accès PMR; Places réservées,Jardin; Café; Audioguides,2025-05-24T00:44:32.831898,2025-05-24T00:44:32.831922
2,2,Musée Lumière,Espace culturel dédié à la préservation et diffusion du patrimoine artistique lyonnais.,"25 rue du Premier-Film, Lyon 8ème",Lyon 8ème,45.728843,4.867504,04 77 37 39 80,,http://www.musee-lumiere-lyon.fr,1982,Accès PMR,Café; Bibliothèque; Jardin; Audioguides; Ateliers pédagogiques,2025-05-24T00:44:32.831938,2025-05-24T00:44:32.831939
3,2,Musée d'art contemporain,Lieu d'exposition mettant en valeur l'art contemporain et les créations émergentes.,"81 quai Charles de Gaulle, Lyon 6ème",Lyon 6ème,45.768831,4.846839,04 75 61 34 30,,http://www.musee-d'art-contemporain-lyon.fr,1984,Accès PMR; Places réservées,Bibliothèque; Audioguides; Visites guidées,2025-05-24T00:44:32.831950,2025-05-24T00:44:32.831951
4,2,Musée Gadagne,Institution muséale offrant parcours thématiques et médiation culturelle innovante.,"1 place du Petit Collège, Lyon 5ème",Lyon 5ème,45.765745,4.822447,04 74 30 53 22,,http://www.musee-gadagne-lyon.fr,2009,Accès PMR,Ateliers pédagogiques; Boutique; Jardin; Bibliothèque; Café,2025-05-24T00:44:32.831959,2025-05-24T00:44:32.831960
5,2,Centre d'Histoire de la Résistance,Lieu d'exposition mettant en valeur l'art contemporain et les créations émergentes.,"14 avenue Berthelot, Lyon 7ème",Lyon 7ème,45.743669,4.831025,04 76 75 66 99,,http://www.centre-d'histoire-de-la-resistance-lyon.fr,1992,Accès PMR; Places réservées,Café; Auditorium; Jardin; Visites guidées; Boutique,2025-05-24T00:44:32.831968,2025-05-24T00:44:32.831969
6,2,Musée de l'Imprimerie,Centre d'art proposant découverte d'œuvres et rencontres avec les artistes.,"13 rue de la Poulaillerie, Lyon 2ème",Lyon 2ème,45.746788,4.83553,04 72 44 93 26,,http://www.musee-de-l'imprimerie-lyon.fr,1964,Accès PMR; Places réservées,Audioguides; Café; Boutique,2025-05-24T00:44:32.831980,2025-05-24T00:44:32.831981
7,2,Musée Henri Malartre,Musée présentant des collections permanentes et expositions temporaires d'art et culture.,"645 rue du Musée, Lyon 6ème",Lyon 6ème,45.768548,4.854053,04 75 14 57 52,,http://www.musee-henri-malartre-lyon.fr,1960,Accès PMR; Ascenseur,Jardin; Café; Bibliothèque; Ateliers pédagogiques,2025-05-24T00:44:32.831989,2025-05-24T00:44:32.831989
8,2,Institut Lumière - Hangar du Premier Film,Lieu de projection offrant expérience cinéma premium avec technologies de pointe.,"25 rue du Premier-Film, Lyon 8ème",Lyon 8ème,45.73241,4.86457,04 77 98 56 67,,http://www.institut-lumiere---hangar-du-premier-film-lyon.fr,1982,Accès PMR; Ascenseur,Son Dolby; Confiserie; Réservation en ligne,2025-05-24T00:44:32.831998,2025-05-24T00:44:32.831998
9,2,Cinéma Lumière Terreaux,Salle de cinéma art et essai programmant films d'auteur et cinéma indépendant.,"40 rue du Président Herriot, Lyon 1er",Lyon 1er,45.771108,4.830608,04 76 74 63 36,,http://www.cinema-lumiere-terreaux-lyon.fr,2020,Accès PMR; Places réservées,Séances VF/VOST; Confiserie; Bar; Écran géant,2025-05-24T00:44:32.832006,2025-05-24T00:44:32.832007
10,2,Cinéma Lumière Bellecour,Espace cinématographique dédié à la découverte et à l'innovation filmique.,"12 rue de la Barre, Lyon 2ème",Lyon 2ème,45.749005,4.836354,04 75 47 90 25,,http://www.cinema-lumiere-bellecour-lyon.fr,2020,Accès PMR; Ascenseur,Confiserie; Bar; Écran géant; Parking; Réservation en ligne,2025-05-24T00:44:32.832014,2025-05-24T00:44:32.832014
